"filename", "language", "Dart", "comment", "blank", "total"
"d:\project\evier\lib\authentication\auth.dart", "Dart", 64, 0, 7, 71
"d:\project\evier\lib\authentication\login.dart", "Dart", 313, 5, 14, 332
"d:\project\evier\lib\authentication\registration_page.dart", "Dart", 399, 5, 17, 421
"d:\project\evier\lib\main.dart", "Dart", 23, 5, 5, 33
"d:\project\evier\lib\myapp.dart", "Dart", 23, 1, 2, 26
"d:\project\evier\lib\resources\custom_box_decoration.dart", "Dart", 8, 2, 3, 13
"d:\project\evier\lib\resources\custom_gradient.dart", "Dart", 8, 0, 3, 11
"d:\project\evier\lib\resources\routes.dart", "Dart", 4, 0, 1, 5
"d:\project\evier\lib\resources\strings.dart", "Dart", 29, 0, 1, 30
"d:\project\evier\lib\resources\themes.dart", "Dart", 11, 5, 2, 18
"d:\project\evier\lib\screens\accountScreen.dart", "Dart", 15, 0, 2, 17
"d:\project\evier\lib\screens\add_product.dart", "Dart", 238, 49, 19, 306
"d:\project\evier\lib\screens\bottom_navigation_bar_widget.dart", "Dart", 29, 1, 2, 32
"d:\project\evier\lib\screens\category_screen.dart", "Dart", 62, 0, 2, 64
"d:\project\evier\lib\screens\error.dart", "Dart", 13, 0, 2, 15
"d:\project\evier\lib\screens\favouritescreen.dart", "Dart", 10, 0, 2, 12
"d:\project\evier\lib\screens\home_page.dart", "Dart", 66, 1, 2, 69
"d:\project\evier\lib\screens\home_screen.dart", "Dart", 186, 4, 9, 199
"d:\project\evier\lib\screens\screens.dart", "Dart", 10, 1, 2, 13
"Total", "-", 1511, 79, 97, 1687
